"","X","Name","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count","imp_surf","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","CEC_mal_class_en.ID","CEC_mal_class_en.Class_EN","osm_landcov_fusion","osm_landcov_fusion_r","bio_1","bio_12","human_mod","total_road_length","road_density","area","nightlights","elev","UWIN.Code","Notes","ndvi"
"97",97,"Sherrer Home",142621.57,45.57143,36.4393,3580.60721,1238.2001,3,34,17.666667,211.53267,211.53267,0,1288,97,"Urban and Built-up",13.671397,14,NA,101.5,NA,46572.735,"0.014831338 [1/m^2]","3140157 [m^2]",14.7,3.535545,NA,"",0.11153438704017
"98",98,"Shunick Home",207817.08,45.43077,62.277707,2211.86108,790.98596,1,51,12.666667,465.35528,465.35528,0,590,98,"Urban and Built-up",23.516176,24,14.05,115.2,0.7940146,44008.941,"0.014014884 [1/m^2]","3140157 [m^2]",9.3,212.008575,NA,"IOR",0.215610418844271
"99",99,"Sibley Volcanic Regional Preserve",201301.29,44.4,59.967523,978.63736,480.99861,1,0,11.5,2958.76972,2958.28367,0.4860457,961,99,"Mixed Forest",11.000922,11,13.55,127.4,0.5901322,16705.895,"0.005320082 [1/m^2]","3140157 [m^2]",2.2,307.239258,"SVR","",0.285006920529869
"100",100,"Skyline Gate Staging Area",184386.75,47.375,66.094038,1269.84665,491.32933,1,0,7.833333,3409.69361,3409.69361,0,1153,100,"Mixed Forest",11,11,13.55,123,0.6052942,25737.081,"0.008196112 [1/m^2]","3140157 [m^2]",3.8,360.683929,"SKSA","",0.306807624289391
"101",101,"Sobrante Ridge Regional Preserve",137394.5,47.85,37.116524,605.18521,208.994,1,0,9.833333,943.03985,943.03985,0,863,101,"Mixed Forest",10.790854,11,14.25,132.8,0.617947,12485.129,"0.003975957 [1/m^2]","3140157 [m^2]",2.8,150.853775,"SRRP","",0.290616423217919
"102",102,"Squire Home",146772.96,43.075,48.254011,4583.96562,2014.49081,31,21,14.166667,64.70338,64.70338,0,690,102,"Urban and Built-up",17.300312,17,14.25,105.4,0.9253537,63033.023,"0.020073205 [1/m^2]","3140157 [m^2]",36.1,30.165443,NA,"",0.156238970247338
"103",103,"Sunset View Cemetery",150273.5,47.88889,60.680547,3152.91799,1355.52717,3,22,11.833333,228.89145,228.89145,0,890,103,"Urban and Built-up",7.24342,7,14.25,126.9,0.8770081,46198.713,"0.014712229 [1/m^2]","3140157 [m^2]",7.1,85.670021,"SVC","",0.195595578878148
"104",104,"Tarvin Home",124571.6,44.53125,42.816926,2351.95369,974.31171,1,50,13.333333,81.60082,81.60082,0,613,104,"Urban and Built-up",18.374306,18,14.15,131,0.912889,48193.271,"0.015347406 [1/m^2]","3140157 [m^2]",9.7,104.829773,"BTH","Retired from UWIN",0.181957161957115
"105",105,"Temescal Regional Recreation Area",197825.82,47.98182,63.406278,1812.35914,728.53524,1,0,11.666667,251.23299,244.98828,6.2447112,616,105,"Mixed Forest",16.245832,16,14.05,118.1,0.878585,55155.983,"0.017564719 [1/m^2]","3140157 [m^2]",10.4,152.808365,"TRRA","",0.1951198255904
"106",106,"The Dog Social Club Cooperative",84869.4,35.055,26.624648,4316.59593,1843.56624,15,100,17.333333,179.01851,179.01851,0,1039,106,"Urban and Built-up",19.342613,19,14.15,108.7,0.9513558,73725.339,"0.023478231 [1/m^2]","3140157 [m^2]",58.6,5.877658,NA,"",0.0819728971177868
"107",107,"Tilden Nature Area-Jewel Lake",171402.67,50.67778,62.385178,2096.16836,859.84064,1,0,4,17980.33701,16534.83413,1445.502877,977,107,"Mixed Forest",12.280521,12,13.95,133.4,0.5237115,19513.759,"0.006214261 [1/m^2]","3140157 [m^2]",1.7,156.874847,"TNA-JL","",0.274856245152223
"108",108,"Tilden Nature Area-Loop Road Parking",186773,52.87778,67.043588,2088.21022,877.41805,1,0,4,17980.33701,16534.83413,1445.502877,977,108,"Mixed Forest",11.356685,11,13.95,132.4,0.506391,28192.704,"0.008978118 [1/m^2]","3140157 [m^2]",1.9,178.71669,"TNA-LR","",0.280189120360715
"109",109,"Tilden Regional Park-Arroyo Pkwy",194695,49.63333,60.837397,162.46735,65.0134,1,0,6.5,3400.49556,3400.49556,0,875,109,"Mixed Forest",18.133219,18,13.55,132.5,0.453687,8351.708,"0.002659646 [1/m^2]","3140157 [m^2]",1.4,343.518677,"TRP-AP","IOR",0.305688935487765
"110",110,"Tilden Regional Park-Lake Anza",186091.62,50.325,69.088515,1870.92576,772.81648,1,0,4,17980.33701,16534.83413,1445.502877,977,110,"Temperate or Subpolar Needleaf Forest",11.412156,11,13.75,133.1,0.4831218,25270.384,"0.008047490 [1/m^2]","3140157 [m^2]",1.5,240.461578,"TRP-LA","IOR",0.287337903545033
"111",111,"Tilden Regional Park-Nimitz Way",184792.5,49.25,58.919595,95.26131,34.86866,1,0,4,17980.33701,16534.83413,1445.502877,977,111,"Temperate or Subpolar Needleaf Forest",10.999864,11,13.75,134.9,0.3916713,15577.56,"0.004960758 [1/m^2]","3140157 [m^2]",1.1,305.110229,"TRP-NW","",0.298575104089249
"112",112,"Tilden Regional Park-Seaview Trail",202413.5,48.9,66.452946,231.00674,92.71561,1,0,6.5,3400.49556,3400.49556,0,875,112,"Temperate or Subpolar Shrubland",7.068204,7,13.25,132.7,0.4718833,11265.593,"0.003587589 [1/m^2]","3140157 [m^2]",2.4,504.502991,"TRP-ST","",0.298059989765271
"113",113,"Tudor Home",218209.83,48.88333,64.602595,733.37986,276.97676,5,4,8.833333,369.88251,369.88251,0,468,113,"Urban and Built-up",26.40675,26,14.05,123.9,0.6867517,23098.63,"0.007355883 [1/m^2]","3140157 [m^2]",2.8,194.888519,NA,"IOR",0.27187737902389
"114",114,"UC Gill Tract",110533.35,38.75238,46.768542,5849.13096,2266.49414,48,62,17.833333,677.36757,273.90244,403.4651271,798,114,"Urban and Built-up",20.002949,20,14.35,121.2,0.9222558,63131.52,"0.020104572 [1/m^2]","3140157 [m^2]",35.3,13.176613,"UCGT","",0.114871165214155
"115",115,"UCB Women's Faculty Club",82355.07,28.20455,44.622769,13532.76468,4175.29193,54,21,13.5,419.89406,419.89406,0,253,115,"Urban and Built-up",15.060704,15,14.15,121.5,0.8745778,52312.901,"0.016659325 [1/m^2]","3140157 [m^2]",49.5,98.454201,"UCB-WC","IOR",0.170342648241662
"116",116,"University Village Community Garden",97309.15,35.98571,40.763086,6288.06648,2444.34738,23,6,17.833333,677.36757,273.90244,403.4651271,798,116,"Urban and Built-up",8,8,14.35,121.5,0.8233916,53706.294,"0.017103058 [1/m^2]","3140157 [m^2]",32.6,3.845449,NA,"",0.0954039053973389
"117",117,"Urban Tilth's Edible Forest",59644.25,32.52222,6.243992,4933.35332,1601.0694,4,47,16,103.02513,103.02513,0,563,117,"Urban and Built-up",13.164504,13,14.25,129,0.9384029,62923.971,"0.020038477 [1/m^2]","3140157 [m^2]",40.4,8.618657,NA,"",0.0886313004880697
"118",118,"Wakefield Home",104946.88,43.21765,46.909977,4471.54868,1835.92275,69,50,16.166667,71.49641,71.49641,0,562,118,"Urban and Built-up",16.024269,16,14.25,100.5,0.8775038,68960.602,"0.021960875 [1/m^2]","3140157 [m^2]",15,7.723001,NA,"",0.116267775504818
"119",119,"Wildcat Canyon Regional Park",95009,42.31667,31.304837,2843.62913,1088.40008,10,0,9.666667,120.46001,120.46001,0,441,119,"Urban and Built-up",11,11,14.25,130.6,0.6987523,45586.449,"0.014517250 [1/m^2]","3140157 [m^2]",5.8,63.356594,"WCRP","",0.204329165267188
"120",120,"Wildcat Marsh Staging Area",68918.6,36.56,13.48649,1737.38296,489.42924,1,60,11.5,1552.73266,1213.84416,338.8885073,874,120,"Urban and Built-up",28,28,14.35,132.5,0.8486751,27898.737,"0.008884503 [1/m^2]","3140157 [m^2]",18.8,3.415059,"WMSA","Wildcat Creek Trailhead (WCT)",0.136139753331379
"121",121,"Wilkinson Home",99910.57,36.54348,40.2374,4864.34423,2367.35461,48,60,18.5,55.7423,55.7423,0,660,121,"Urban and Built-up",11.604665,12,14.25,112.6,0.9292126,65853.278,"0.020971330 [1/m^2]","3140157 [m^2]",41.4,8.883122,NA,"",0.077949534594457
"122",122,"Williams Home",88083.37,35.97,50.905999,7186.7674,3395.9165,100,50,16.166667,40.22343,40.22343,0,538,122,"Urban and Built-up",12.378024,12,14.25,120.9,0.9400609,65448.977,"0.020842579 [1/m^2]","3140157 [m^2]",22.9,58.885494,NA,"",0.132415369224332
"123",123,"Wolff Home",123975.5,42.5,30.103091,1311.09243,557.04896,1,22,6.166667,757.1952,757.1952,0,1489,123,"Urban and Built-up",25.198904,25,14.15,104.2,0.757181,44816.778,"0.014272144 [1/m^2]","3140157 [m^2]",14.2,143.678619,NA,"",0.222851203836901
"124",124,"YES Nature to Neighborhoods",73171.22,36.04737,12.256468,4820.06082,1567.93565,1,75,14,53.42178,53.42178,0,545,124,"Urban and Built-up",12.342767,12,14.35,128.4,0.9387203,56830.196,"0.018097881 [1/m^2]","3140157 [m^2]",32.1,19.107172,NA,"",0.105650988899802
