Date,daily_visits,Name
8/24/22,4721,Ahern.Home
8/25/22,4100,Ahern.Home
8/26/22,4097,Ahern.Home
8/27/22,4159,Ahern.Home
8/28/22,3147,Ahern.Home
8/29/22,4079,Ahern.Home
8/30/22,3456,Ahern.Home
8/31/22,3494,Ahern.Home
9/1/22,3150,Ahern.Home
9/2/22,3733,Ahern.Home
9/3/22,4059,Ahern.Home
9/4/22,3443,Ahern.Home
9/5/22,2977,Ahern.Home
9/6/22,3684,Ahern.Home
9/7/22,3552,Ahern.Home
9/8/22,4210,Ahern.Home
9/9/22,3209,Ahern.Home
9/10/22,2804,Ahern.Home
9/11/22,1753,Ahern.Home
9/12/22,2516,Ahern.Home
9/13/22,2739,Ahern.Home
9/14/22,3926,Ahern.Home
9/15/22,2922,Ahern.Home
9/16/22,3232,Ahern.Home
9/17/22,2961,Ahern.Home
9/18/22,2109,Ahern.Home
9/19/22,2917,Ahern.Home
9/20/22,3631,Ahern.Home
9/21/22,3403,Ahern.Home
9/22/22,3076,Ahern.Home
9/23/22,4000,Ahern.Home
9/24/22,3033,Ahern.Home
9/25/22,3734,Ahern.Home
9/26/22,2882,Ahern.Home
9/27/22,3262,Ahern.Home
9/28/22,1924,Ahern.Home
9/29/22,1989,Ahern.Home
9/30/22,3976,Ahern.Home
10/1/22,2201,Ahern.Home
10/2/22,1784,Ahern.Home
10/3/22,2912,Ahern.Home
10/4/22,4443,Ahern.Home
10/5/22,2907,Ahern.Home
10/6/22,3399,Ahern.Home
10/7/22,2963,Ahern.Home
10/8/22,2764,Ahern.Home
10/9/22,2408,Ahern.Home
10/10/22,2936,Ahern.Home
10/11/22,3276,Ahern.Home
10/12/22,2406,Ahern.Home
10/13/22,3155,Ahern.Home
10/14/22,3457,Ahern.Home
10/15/22,3020,Ahern.Home
10/16/22,2304,Ahern.Home
10/17/22,2255,Ahern.Home
10/18/22,3176,Ahern.Home
10/19/22,3379,Ahern.Home
10/20/22,3418,Ahern.Home
10/21/22,3535,Ahern.Home
10/22/22,3115,Ahern.Home
10/23/22,3134,Ahern.Home
10/24/22,2933,Ahern.Home
10/25/22,3684,Ahern.Home
10/26/22,2815,Ahern.Home
10/27/22,3386,Ahern.Home
10/28/22,3509,Ahern.Home
10/29/22,2740,Ahern.Home
10/30/22,2647,Ahern.Home
10/31/22,4823,Ahern.Home
11/1/22,2760,Ahern.Home
11/2/22,3330,Ahern.Home
11/3/22,3626,Ahern.Home
11/4/22,4137,Ahern.Home
11/5/22,1987,Ahern.Home
11/6/22,2902,Ahern.Home
11/7/22,3100,Ahern.Home
11/8/22,3148,Ahern.Home
11/9/22,2704,Ahern.Home
11/10/22,4048,Ahern.Home
11/11/22,2620,Ahern.Home
11/12/22,2105,Ahern.Home
11/13/22,2305,Ahern.Home
11/14/22,2860,Ahern.Home
11/15/22,4263,Ahern.Home
11/16/22,3092,Ahern.Home
11/17/22,3695,Ahern.Home
11/18/22,3868,Ahern.Home
11/19/22,2743,Ahern.Home
11/20/22,1802,Ahern.Home
11/21/22,2891,Ahern.Home
11/22/22,3668,Ahern.Home
11/23/22,3975,Ahern.Home
11/24/22,3731,Ahern.Home
11/25/22,3377,Ahern.Home
11/26/22,4654,Ahern.Home
11/27/22,2198,Ahern.Home
11/28/22,2663,Ahern.Home
11/29/22,2911,Ahern.Home
11/30/22,2847,Ahern.Home
12/1/22,2723,Ahern.Home
12/2/22,2989,Ahern.Home
12/3/22,1983,Ahern.Home
12/4/22,2198,Ahern.Home
12/5/22,2086,Ahern.Home
12/6/22,2910,Ahern.Home
12/7/22,2715,Ahern.Home
12/8/22,2628,Ahern.Home
12/9/22,3127,Ahern.Home
12/10/22,2553,Ahern.Home
12/11/22,2098,Ahern.Home
12/12/22,3188,Ahern.Home
12/13/22,3617,Ahern.Home
12/14/22,3823,Ahern.Home
12/15/22,3429,Ahern.Home
12/16/22,4768,Ahern.Home
12/17/22,2481,Ahern.Home
12/18/22,2817,Ahern.Home
12/19/22,3142,Ahern.Home
12/20/22,3863,Ahern.Home
12/21/22,3522,Ahern.Home
12/22/22,3002,Ahern.Home
12/23/22,3781,Ahern.Home
12/24/22,3525,Ahern.Home
12/25/22,3978,Ahern.Home
12/26/22,2972,Ahern.Home
12/27/22,2700,Ahern.Home
12/28/22,3397,Ahern.Home
12/29/22,3123,Ahern.Home
12/30/22,3138,Ahern.Home
12/31/22,3210,Ahern.Home
1/1/23,3686,Ahern.Home
1/2/23,3304,Ahern.Home
1/3/23,3724,Ahern.Home
1/4/23,3440,Ahern.Home
1/5/23,2360,Ahern.Home
1/6/23,3968,Ahern.Home
1/7/23,3602,Ahern.Home
1/8/23,3072,Ahern.Home
1/9/23,3308,Ahern.Home
1/10/23,2690,Ahern.Home
1/11/23,2230,Ahern.Home
1/12/23,2907,Ahern.Home
1/13/23,3814,Ahern.Home
1/14/23,1762,Ahern.Home
1/15/23,2787,Ahern.Home
1/16/23,2826,Ahern.Home
1/17/23,4191,Ahern.Home
1/18/23,2786,Ahern.Home
1/19/23,3468,Ahern.Home
1/20/23,4171,Ahern.Home
1/21/23,3909,Ahern.Home
1/22/23,2217,Ahern.Home
1/23/23,3543,Ahern.Home
1/24/23,3499,Ahern.Home
1/25/23,3326,Ahern.Home
1/26/23,2937,Ahern.Home
1/27/23,4319,Ahern.Home
1/28/23,2949,Ahern.Home
1/29/23,2776,Ahern.Home
1/30/23,3307,Ahern.Home
1/31/23,3857,Ahern.Home
2/1/23,3553,Ahern.Home
2/2/23,3268,Ahern.Home
2/3/23,3589,Ahern.Home
2/4/23,3189,Ahern.Home
2/5/23,2569,Ahern.Home
2/6/23,3023,Ahern.Home
2/7/23,3932,Ahern.Home
2/8/23,3443,Ahern.Home
2/9/23,3370,Ahern.Home
2/10/23,3879,Ahern.Home
2/11/23,3615,Ahern.Home
2/12/23,3292,Ahern.Home
2/13/23,3905,Ahern.Home
2/14/23,2957,Ahern.Home
2/15/23,3724,Ahern.Home
2/16/23,2686,Ahern.Home
2/17/23,3066,Ahern.Home
2/18/23,2535,Ahern.Home
2/19/23,2147,Ahern.Home
2/20/23,2378,Ahern.Home
2/21/23,3452,Ahern.Home
2/22/23,2882,Ahern.Home
2/23/23,2674,Ahern.Home
2/24/23,3178,Ahern.Home
2/25/23,2600,Ahern.Home
2/26/23,2348,Ahern.Home
2/27/23,2438,Ahern.Home
2/28/23,3717,Ahern.Home
3/1/23,3192,Ahern.Home
3/2/23,3452,Ahern.Home
3/3/23,3373,Ahern.Home
3/4/23,2558,Ahern.Home
3/5/23,2599,Ahern.Home
3/6/23,2437,Ahern.Home
3/7/23,4144,Ahern.Home
3/8/23,2819,Ahern.Home
3/9/23,2845,Ahern.Home
3/10/23,3641,Ahern.Home
3/11/23,2221,Ahern.Home
3/12/23,1808,Ahern.Home
3/13/23,3089,Ahern.Home
3/14/23,2773,Ahern.Home
3/15/23,3727,Ahern.Home
3/16/23,3668,Ahern.Home
3/17/23,3866,Ahern.Home
3/18/23,2701,Ahern.Home
3/19/23,2213,Ahern.Home
3/20/23,2971,Ahern.Home
3/21/23,2867,Ahern.Home
3/22/23,4193,Ahern.Home
3/23/23,4005,Ahern.Home
3/24/23,4993,Ahern.Home
3/25/23,3886,Ahern.Home
3/26/23,2691,Ahern.Home
3/27/23,4047,Ahern.Home
3/28/23,4111,Ahern.Home
3/29/23,3786,Ahern.Home
3/30/23,3512,Ahern.Home
3/31/23,2776,Ahern.Home
4/1/23,3032,Ahern.Home
4/2/23,1721,Ahern.Home
4/3/23,2650,Ahern.Home
4/4/23,3179,Ahern.Home
4/5/23,2964,Ahern.Home
4/6/23,1913,Ahern.Home
4/7/23,2506,Ahern.Home
4/8/23,2587,Ahern.Home
4/9/23,3341,Ahern.Home
4/10/23,3788,Ahern.Home
4/11/23,3015,Ahern.Home
4/12/23,3817,Ahern.Home
4/13/23,3465,Ahern.Home
4/14/23,3438,Ahern.Home
4/15/23,3090,Ahern.Home
4/16/23,2321,Ahern.Home
4/17/23,2745,Ahern.Home
4/18/23,3839,Ahern.Home
4/19/23,3096,Ahern.Home
4/20/23,3179,Ahern.Home
4/21/23,3788,Ahern.Home
4/22/23,3206,Ahern.Home
4/23/23,3482,Ahern.Home
4/24/23,2946,Ahern.Home
4/25/23,3421,Ahern.Home
4/26/23,3444,Ahern.Home
4/27/23,2637,Ahern.Home
4/28/23,3580,Ahern.Home
4/29/23,2534,Ahern.Home
4/30/23,2899,Ahern.Home
5/1/23,2567,Ahern.Home
5/2/23,3036,Ahern.Home
5/3/23,3483,Ahern.Home
5/4/23,2620,Ahern.Home
5/5/23,3120,Ahern.Home
5/6/23,2688,Ahern.Home
5/7/23,2419,Ahern.Home
5/8/23,3479,Ahern.Home
5/9/23,3219,Ahern.Home
5/10/23,3456,Ahern.Home
5/11/23,3358,Ahern.Home
5/12/23,3685,Ahern.Home
5/13/23,3541,Ahern.Home
5/14/23,2664,Ahern.Home
5/15/23,3380,Ahern.Home
5/16/23,3815,Ahern.Home
5/17/23,3799,Ahern.Home
5/18/23,2985,Ahern.Home
5/19/23,5391,Ahern.Home
5/20/23,3466,Ahern.Home
5/21/23,3010,Ahern.Home
5/22/23,3648,Ahern.Home
5/23/23,4302,Ahern.Home
5/24/23,4890,Ahern.Home
5/25/23,3822,Ahern.Home
5/26/23,3516,Ahern.Home
5/27/23,3654,Ahern.Home
5/28/23,3300,Ahern.Home
5/29/23,3497,Ahern.Home
5/30/23,2857,Ahern.Home
5/31/23,3818,Ahern.Home
6/1/23,3019,Ahern.Home
6/2/23,3858,Ahern.Home
6/3/23,4015,Ahern.Home
6/4/23,3367,Ahern.Home
6/5/23,3779,Ahern.Home
6/6/23,3666,Ahern.Home
6/7/23,3069,Ahern.Home
6/8/23,3512,Ahern.Home
6/9/23,3787,Ahern.Home
6/10/23,3603,Ahern.Home
6/11/23,3371,Ahern.Home
6/12/23,3362,Ahern.Home
6/13/23,3937,Ahern.Home
6/14/23,3782,Ahern.Home
6/15/23,3923,Ahern.Home
6/16/23,3782,Ahern.Home
6/17/23,2710,Ahern.Home
6/18/23,3729,Ahern.Home
6/19/23,3353,Ahern.Home
6/20/23,3739,Ahern.Home
6/21/23,3751,Ahern.Home
6/22/23,4152,Ahern.Home
6/23/23,4078,Ahern.Home
6/24/23,3931,Ahern.Home
6/25/23,4344,Ahern.Home
6/26/23,3287,Ahern.Home
6/27/23,4305,Ahern.Home
6/28/23,4092,Ahern.Home
6/29/23,3906,Ahern.Home
6/30/23,3783,Ahern.Home
7/1/23,2981,Ahern.Home
7/2/23,3158,Ahern.Home
7/3/23,4313,Ahern.Home
7/4/23,4746,Ahern.Home
7/5/23,4410,Ahern.Home
7/6/23,3850,Ahern.Home
