"","Name","UWIN.Code","Notes","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count.x","restaurant_count.y","total_road_length","road_density","road_area","distance_to_road","imp_surf","ndvi","elev","nightlights","nldc_landcover","bio_1","bio_12","human_mod","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","dist2nearest_camera","geometry","buffer_size"
"13","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,1,29239.0936393744,0.00931134658285047,3140157.37457637,305.811791307068,32.3698784967508,0.0753130094239132,3.30424809455872,10.6,"Urban and Built-up",14.3500003814697,123.033333333333,0.761578172445297,17.8333333333333,677.3675699,273.9024428,403.4651271,798,908.651382165591,c(-122.312563, 37.889749),1000
"14","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,1,29239.0936393744,0.00931134658285047,3140157.37457637,305.811791307068,32.3698784967508,0.0753130094239132,3.30424809455872,10.6,"Urban and Built-up",14.3500003814697,123.033333333333,0.761578172445297,19.5,2268.6782265,819.5938821,1449.0843444,556,908.651382165591,c(-122.312563, 37.889749),1000
"15","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,1,29239.0936393744,0.00931134658285047,3140157.37457637,305.811791307068,32.3698784967508,0.0753130094239132,3.30424809455872,10.6,"Urban and Built-up",14.3500003814697,123.033333333333,0.761578172445297,14.5,141.4407813,141.4407813,0,733,908.651382165591,c(-122.312563, 37.889749),1000
"16","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,1,29239.0936393744,0.00931134658285047,3140157.37457637,305.811791307068,32.3698784967508,0.0753130094239132,3.30424809455872,10.6,"Urban and Built-up",14.3500003814697,123.033333333333,0.761578172445297,16.5,148.7210886,148.7210886,0,897,908.651382165591,c(-122.312563, 37.889749),1000
"17","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,1,29239.0936393744,0.00931134658285047,3140157.37457637,305.811791307068,32.3698784967508,0.0753130094239132,3.30424809455872,10.6,"Urban and Built-up",14.3500003814697,123.033333333333,0.761578172445297,13.3333333333333,101.7881501,101.7881501,0,1039,908.651382165591,c(-122.312563, 37.889749),1000
"18","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,1,29239.0936393744,0.00931134658285047,3140157.37457637,305.811791307068,32.3698784967508,0.0753130094239132,3.30424809455872,10.6,"Urban and Built-up",14.3500003814697,123.033333333333,0.761578172445297,18.3333333333333,297.204467,297.204467,0,483,908.651382165591,c(-122.312563, 37.889749),1000
"19","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,1,29239.0936393744,0.00931134658285047,3140157.37457637,305.811791307068,32.3698784967508,0.0753130094239132,3.30424809455872,10.6,"Urban and Built-up",14.3500003814697,123.033333333333,0.761578172445297,16.6666666666667,60.974396,60.974396,0,645,908.651382165591,c(-122.312563, 37.889749),1000
"20","Albe Home",NA,"IOR",106843.611111111,42.378947368421,34.1557554709148,3257.38381372307,1336.770775585,18,18,63443.7437745701,0.0202040013307069,3140157.37457637,904.164036473487,57.9243578887949,0.15039296130397,39.1623420715332,17.8,"Urban and Built-up",14.3000001907349,130.016666666667,0.901531100273132,12.8333333333333,49.6784666,49.6784666,0,468,581.992202196402,c(-122.3209, 37.942801),1000
"21","Albe Home",NA,"IOR",106843.611111111,42.378947368421,34.1557554709148,3257.38381372307,1336.770775585,18,18,63443.7437745701,0.0202040013307069,3140157.37457637,904.164036473487,57.9243578887949,0.15039296130397,39.1623420715332,17.8,"Urban and Built-up",14.3000001907349,130.016666666667,0.901531100273132,18.3333333333333,76.1305216,76.1305216,0,399,581.992202196402,c(-122.3209, 37.942801),1000
"22","Albe Home",NA,"IOR",106843.611111111,42.378947368421,34.1557554709148,3257.38381372307,1336.770775585,18,18,63443.7437745701,0.0202040013307069,3140157.37457637,904.164036473487,57.9243578887949,0.15039296130397,39.1623420715332,17.8,"Urban and Built-up",14.3000001907349,130.016666666667,0.901531100273132,15.1666666666667,58.5770318,58.5770318,0,452,581.992202196402,c(-122.3209, 37.942801),1000
"23","Albe Home",NA,"IOR",106843.611111111,42.378947368421,34.1557554709148,3257.38381372307,1336.770775585,18,18,63443.7437745701,0.0202040013307069,3140157.37457637,904.164036473487,57.9243578887949,0.15039296130397,39.1623420715332,17.8,"Urban and Built-up",14.3000001907349,130.016666666667,0.901531100273132,14.8333333333333,61.4606888,61.4606888,0,488,581.992202196402,c(-122.3209, 37.942801),1000
"24","Albe Home",NA,"IOR",106843.611111111,42.378947368421,34.1557554709148,3257.38381372307,1336.770775585,18,18,63443.7437745701,0.0202040013307069,3140157.37457637,904.164036473487,57.9243578887949,0.15039296130397,39.1623420715332,17.8,"Urban and Built-up",14.3000001907349,130.016666666667,0.901531100273132,14.5,56.0064505,56.0064505,0,565,581.992202196402,c(-122.3209, 37.942801),1000
"25","Albe Home",NA,"IOR",106843.611111111,42.378947368421,34.1557554709148,3257.38381372307,1336.770775585,18,18,63443.7437745701,0.0202040013307069,3140157.37457637,904.164036473487,57.9243578887949,0.15039296130397,39.1623420715332,17.8,"Urban and Built-up",14.3000001907349,130.016666666667,0.901531100273132,15,63.9596111,63.9596111,0,539,581.992202196402,c(-122.3209, 37.942801),1000
"26","Albe Home",NA,"IOR",106843.611111111,42.378947368421,34.1557554709148,3257.38381372307,1336.770775585,18,18,63443.7437745701,0.0202040013307069,3140157.37457637,904.164036473487,57.9243578887949,0.15039296130397,39.1623420715332,17.8,"Urban and Built-up",14.3000001907349,130.016666666667,0.901531100273132,16.6666666666667,46.2259854,46.2259854,0,452,581.992202196402,c(-122.3209, 37.942801),1000
"27","Albe Home",NA,"IOR",106843.611111111,42.378947368421,34.1557554709148,3257.38381372307,1336.770775585,18,18,63443.7437745701,0.0202040013307069,3140157.37457637,904.164036473487,57.9243578887949,0.15039296130397,39.1623420715332,17.8,"Urban and Built-up",14.3000001907349,130.016666666667,0.901531100273132,14.5,52.5885633,52.5885633,0,361,581.992202196402,c(-122.3209, 37.942801),1000
