"","Name","UWIN.Code","Start.Date","End.Date","Num.Days","Notes","states_abbrev","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","mean_daily_visits","median_daily_visits","mean_weekday_visits","mean_weekend_visits","restaurant_count","total_road_length","road_density","road_area","distance_to_road","imp_surf","ndvi","elev","nightlight_avg","nldc_landcover","bio_1","bio_12","human_mod","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","dist2nearest_camera","buffer_size","X","BURDEN_RESCALED_AV_PCT","BURDEN_RESCALED_MAX_PCT","MAX_POLL_RAW","MEAN_POLL_RAW","OGBURDEN_AV","OGBURDEN_MAX","geometry"
"21","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",109061,40.8111111111111,33.0006099051208,3096.82113384582,1215.87229589603,21409.875,21412.5,21328.1666666667,21655,1,18569.6925505119,0.0236544737545322,785039.343644414,125.348208824119,64.2311161217587,0.133464108751206,39.1425326441375,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,18.6666666666667,83.243048,83.243048,0,453,488.521859577132,500,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"22","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",109061,40.8111111111111,33.0006099051208,3096.82113384582,1215.87229589603,21409.875,21412.5,21328.1666666667,21655,1,18569.6925505119,0.0236544737545322,785039.343644414,125.348208824119,64.2311161217587,0.133464108751206,39.1425326441375,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,13.8333333333333,50.8121614,50.8121614,0,399,488.521859577132,500,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"23","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",158740.75,45.3375,60.2424154622835,3716.30988745491,1701.83794770549,9038.16666666667,8973.5,9255.69230769231,8472.6,22,12732.0688932126,0.0162183831884259,785039.343644235,238.871384582017,50.7352941176472,0.167483822313406,77.1458910508917,3.22915944210997,"Urban and Built-up",14.1499996185303,108.8,0.920411318540573,13.5,93.4635982,93.4635982,0,676,409.360657627075,500,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
"24","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",158740.75,45.3375,60.2424154622835,3716.30988745491,1701.83794770549,9038.16666666667,8973.5,9255.69230769231,8472.6,22,12732.0688932126,0.0162183831884259,785039.343644235,238.871384582017,50.7352941176472,0.167483822313406,77.1458910508917,3.22915944210997,"Urban and Built-up",14.1499996185303,108.8,0.920411318540573,14.6666666666667,58.3934365,58.3934365,0,528,409.360657627075,500,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
"25","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",158740.75,45.3375,60.2424154622835,3716.30988745491,1701.83794770549,9038.16666666667,8973.5,9255.69230769231,8472.6,22,12732.0688932126,0.0162183831884259,785039.343644235,238.871384582017,50.7352941176472,0.167483822313406,77.1458910508917,3.22915944210997,"Urban and Built-up",14.1499996185303,108.8,0.920411318540573,17,59.0858107,59.0858107,0,612,409.360657627075,500,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
"26","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",158740.75,45.3375,60.2424154622835,3716.30988745491,1701.83794770549,9038.16666666667,8973.5,9255.69230769231,8472.6,22,12732.0688932126,0.0162183831884259,785039.343644235,238.871384582017,50.7352941176472,0.167483822313406,77.1458910508917,3.22915944210997,"Urban and Built-up",14.1499996185303,108.8,0.920411318540573,15.6666666666667,76.1426295,76.1426295,0,701,409.360657627075,500,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
"27","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",158740.75,45.3375,60.2424154622835,3716.30988745491,1701.83794770549,9038.16666666667,8973.5,9255.69230769231,8472.6,22,12732.0688932126,0.0162183831884259,785039.343644235,238.871384582017,50.7352941176472,0.167483822313406,77.1458910508917,3.22915944210997,"Urban and Built-up",14.1499996185303,108.8,0.920411318540573,11.6666666666667,168.7352002,168.7352002,0,499,409.360657627075,500,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
"28","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",158740.75,45.3375,60.2424154622835,3716.30988745491,1701.83794770549,9038.16666666667,8973.5,9255.69230769231,8472.6,22,12732.0688932126,0.0162183831884259,785039.343644235,238.871384582017,50.7352941176472,0.167483822313406,77.1458910508917,3.22915944210997,"Urban and Built-up",14.1499996185303,108.8,0.920411318540573,13.1666666666667,39.6459595,39.6459595,0,440,409.360657627075,500,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
"29","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",158740.75,45.3375,60.2424154622835,3716.30988745491,1701.83794770549,9038.16666666667,8973.5,9255.69230769231,8472.6,22,12732.0688932126,0.0162183831884259,785039.343644235,238.871384582017,50.7352941176472,0.167483822313406,77.1458910508917,3.22915944210997,"Urban and Built-up",14.1499996185303,108.8,0.920411318540573,16.3333333333333,93.4240622,93.4240622,0,698,409.360657627075,500,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
"30","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",158740.75,45.3375,60.2424154622835,3716.30988745491,1701.83794770549,9038.16666666667,8973.5,9255.69230769231,8472.6,22,12732.0688932126,0.0162183831884259,785039.343644235,238.871384582017,50.7352941176472,0.167483822313406,77.1458910508917,3.22915944210997,"Urban and Built-up",14.1499996185303,108.8,0.920411318540573,14.8333333333333,80.5266777,80.5266777,0,522,409.360657627075,500,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
