"","Date","daily_visits","Name"
"219",2022-08-07,3119,"Ahern Home"
"220",2022-08-08,4397,"Ahern Home"
"221",2022-08-09,4064,"Ahern Home"
"222",2022-08-10,3180,"Ahern Home"
"223",2022-08-11,3716,"Ahern Home"
"224",2022-08-12,3548,"Ahern Home"
"225",2022-08-13,2900,"Ahern Home"
"226",2022-08-14,3180,"Ahern Home"
"227",2022-08-15,3400,"Ahern Home"
"228",2022-08-16,3419,"Ahern Home"
"229",2022-08-17,3469,"Ahern Home"
"230",2022-08-18,3498,"Ahern Home"
"231",2022-08-19,3661,"Ahern Home"
"232",2022-08-20,4189,"Ahern Home"
"233",2022-08-21,3009,"Ahern Home"
"234",2022-08-22,3565,"Ahern Home"
"235",2022-08-23,5070,"Ahern Home"
"236",2022-08-24,4721,"Ahern Home"
"237",2022-08-25,4100,"Ahern Home"
"238",2022-08-26,4097,"Ahern Home"
"239",2022-08-27,4159,"Ahern Home"
"240",2022-08-28,3147,"Ahern Home"
"241",2022-08-29,4079,"Ahern Home"
"242",2022-08-30,3456,"Ahern Home"
"243",2022-08-31,3494,"Ahern Home"
"244",2022-09-01,3150,"Ahern Home"
"245",2022-09-02,3733,"Ahern Home"
"246",2022-09-03,4059,"Ahern Home"
"247",2022-09-04,3443,"Ahern Home"
"248",2022-09-05,2977,"Ahern Home"
"249",2022-09-06,3684,"Ahern Home"
"250",2022-09-07,3552,"Ahern Home"
"251",2022-09-08,4210,"Ahern Home"
"252",2022-09-09,3209,"Ahern Home"
"253",2022-09-10,2804,"Ahern Home"
"254",2022-09-11,1753,"Ahern Home"
"255",2022-09-12,2516,"Ahern Home"
"256",2022-09-13,2739,"Ahern Home"
"257",2022-09-14,3926,"Ahern Home"
"258",2022-09-15,2922,"Ahern Home"
"259",2022-09-16,3232,"Ahern Home"
"260",2022-09-17,2961,"Ahern Home"
"261",2022-09-18,2109,"Ahern Home"
"262",2022-09-19,2917,"Ahern Home"
"263",2022-09-20,3631,"Ahern Home"
"264",2022-09-21,3403,"Ahern Home"
"265",2022-09-22,3076,"Ahern Home"
"266",2022-09-23,4000,"Ahern Home"
"267",2022-09-24,3033,"Ahern Home"
"268",2022-09-25,3734,"Ahern Home"
"269",2022-09-26,2882,"Ahern Home"
"270",2022-09-27,3262,"Ahern Home"
"271",2022-09-28,1924,"Ahern Home"
"272",2022-09-29,1989,"Ahern Home"
"273",2022-09-30,3976,"Ahern Home"
"274",2022-10-01,2201,"Ahern Home"
"275",2022-10-02,1784,"Ahern Home"
"276",2022-10-03,2912,"Ahern Home"
"277",2022-10-04,4443,"Ahern Home"
"278",2022-10-05,2907,"Ahern Home"
"279",2022-10-06,3399,"Ahern Home"
"280",2022-10-07,2963,"Ahern Home"
"281",2022-10-08,2764,"Ahern Home"
"282",2022-10-09,2408,"Ahern Home"
"283",2022-10-10,2936,"Ahern Home"
"284",2022-10-11,3276,"Ahern Home"
"285",2022-10-12,2406,"Ahern Home"
"286",2022-10-13,3155,"Ahern Home"
"287",2022-10-14,3457,"Ahern Home"
"288",2022-10-15,3020,"Ahern Home"
"289",2022-10-16,2304,"Ahern Home"
"290",2022-10-17,2255,"Ahern Home"
"291",2022-10-18,3176,"Ahern Home"
"292",2022-10-19,3379,"Ahern Home"
"293",2022-10-20,3418,"Ahern Home"
"294",2022-10-21,3535,"Ahern Home"
"295",2022-10-22,3115,"Ahern Home"
"296",2022-10-23,3134,"Ahern Home"
"297",2022-10-24,2933,"Ahern Home"
"298",2022-10-25,3684,"Ahern Home"
"299",2022-10-26,2815,"Ahern Home"
"300",2022-10-27,3386,"Ahern Home"
"301",2022-10-28,3509,"Ahern Home"
"302",2022-10-29,2740,"Ahern Home"
"303",2022-10-30,2647,"Ahern Home"
"304",2022-10-31,4823,"Ahern Home"
"305",2022-11-01,2760,"Ahern Home"
"306",2022-11-02,3330,"Ahern Home"
"307",2022-11-03,3626,"Ahern Home"
"308",2022-11-04,4137,"Ahern Home"
"309",2022-11-05,1987,"Ahern Home"
"310",2022-11-06,2902,"Ahern Home"
"311",2022-11-07,3100,"Ahern Home"
"312",2022-11-08,3148,"Ahern Home"
"313",2022-11-09,2704,"Ahern Home"
"314",2022-11-10,4048,"Ahern Home"
"315",2022-11-11,2620,"Ahern Home"
"316",2022-11-12,2105,"Ahern Home"
"317",2022-11-13,2305,"Ahern Home"
"318",2022-11-14,2860,"Ahern Home"
"319",2022-11-15,4263,"Ahern Home"
"320",2022-11-16,3092,"Ahern Home"
"321",2022-11-17,3695,"Ahern Home"
"322",2022-11-18,3868,"Ahern Home"
"323",2022-11-19,2743,"Ahern Home"
"324",2022-11-20,1802,"Ahern Home"
"325",2022-11-21,2891,"Ahern Home"
"326",2022-11-22,3668,"Ahern Home"
"327",2022-11-23,3975,"Ahern Home"
"328",2022-11-24,3731,"Ahern Home"
"329",2022-11-25,3377,"Ahern Home"
"330",2022-11-26,4654,"Ahern Home"
"331",2022-11-27,2198,"Ahern Home"
"332",2022-11-28,2663,"Ahern Home"
"333",2022-11-29,2911,"Ahern Home"
"334",2022-11-30,2847,"Ahern Home"
"335",2022-12-01,2723,"Ahern Home"
"336",2022-12-02,2989,"Ahern Home"
"337",2022-12-03,1983,"Ahern Home"
"338",2022-12-04,2198,"Ahern Home"
"339",2022-12-05,2086,"Ahern Home"
"340",2022-12-06,2910,"Ahern Home"
"341",2022-12-07,2715,"Ahern Home"
